;datatrimestre;valorPix;valorTED;valorTEC;valorCheque;valorBoleto;valorDOC;valorCartaoCredito;valorCartaoDebito;valorCartaoPrePago;valorTransIntrabancaria;valorConvenios;valorDebitoDireto;valorSaques;quantidadePix;quantidadeTED;quantidadeTEC;quantidadeCheque;quantidadeBoleto;quantidadeDOC;quantidadeCartaoCredito;quantidadeCartaoDebito;quantidadeCartaoPrePago;quantidadeTransIntrabancaria;quantidadeConvenios;quantidadeDebitoDireto;quantidadeSaques
0;2024-12-31;7714115370000,0;11647265670000,0;0,0;187486450000,0;2530070720000,0;0,0;728621990000,0;259929790000,0;85637900000,0;6994592320000,0;1058938030000,0;714937330000,0;530634040000,0;1796084300,0;21101800,0;0,0;4151100,0;145916400,0;0,0;535153800,0;428240100,0;333992700,0;49221900,0;63396100,0;379510300,0;65897400,0
1;2024-09-30;6975429470000,0;11180217680000,0;0,0;194330600000,0;2445000040000,0;0,0;663288440000,0;241932980000,0;78531940000,0;6721491990000,0;961319370000,0;632328970000,0;526867560000,0;1654642700,0;20339400,0;0,0;4424400,0;146673700,0;0,0;504230600,0;412180600,0;313243300,0;42640400,0;66191800,0;383257700,0;66422600,0
2;2024-06-30;6284296050000,0;10662555730000,0;0,0;221553820000,0;2360423790000,0;0,0;631811520000,0;239101560000,0;77389010000,0;6185603980000,0;984002130000,0;589043560000,0;591985250000,0;1535689100,0;20327000,0;0,0;4498200,0;143910000,0;0,0;487970700,0;405795900,0;304623400,0;32855200,0;67941800,0;332059000,0;69860400,0
3;2024-03-31;5429305430000,0;9651625560000,0;925260000,0;190457250000,0;2248972680000,0;650800000,0;607470960000,0;235111600000,0;73035610000,0;5394494970000,0;1079005230000,0;573074520000,0;522222340000,0;1357545600,0;20371400,0;44700,0;4646900,0;142273100,0;66300,0;472343800,0;395236500,0;277423700,0;27724000,0;71679500,0;323869900,0;68304300,0
4;2023-12-31;5300155000000,0;10090921810000,0;5787890000,0;221424780000,0;2317765950000,0;4684980000,0;630191340000,0;259057920000,0;79592400000,0;5620372940000,0;992622230000,0;713965370000,0;644732040000,0;1304567000,0;22647100,0;257200,0;5210100,0;145247900,0;466500,0;481384800,0;423865300,0;297441100,0;37630800,0;66980600,0;310255800,0;75244100,0
5;2023-09-30;4469529570000,0;9960251890000,0;4156380000,0;218121880000,0;2296686990000,0;10131890000,0;581902420000,0;240827840000,0;69553220000,0;5431931990000,0;917545310000,0;700423250000,0;622697480000,0;1111694800,0;21771800,0;176500,0;5441000,0;148707300,0;1261400,0;458377200,0;401436100,0;267782700,0;31857800,0;70550800,0;279082000,0;75869200,0
6;2023-06-30;3900377430000,0;10657463130000,0;4770740000,0;228408820000,0;2249059610000,0;11258230000,0;561910940000,0;238172210000,0;63923280000,0;5394057650000,0;928969870000,0;657036350000,0;638613020000,0;939657900,0;21881900,0;199300,0;5633900,0;149421800,0;1032800,0;443483200,0;392978600,0;242661900,0;27825700,0;73471200,0;255623700,0;77845400,0
7;2023-03-31;3447198280000,0;9919602840000,0;4535170000,0;240686190000,0;2211522990000,0;7467110000,0;535520440000,0;237175130000,0;61169030000,0;5753141910000,0;965364340000,0;638326600000,0;558407690000,0;811639600,0;22874400,0;195800,0;5783100,0;151081800,0;753100,0;418905900,0;383519200,0;223780100,0;25627700,0;76447300,0;243725400,0;66287500,0
8;2022-12-31;3342913940000,0;10382121630000,0;5609530000,0;242259610000,0;2259674530000,0;9584630000,0;560765410000,0;264120640000,0;66081980000,0;5510897970000,0;932333890000,0;693550260000,0;625411600000,0;780716600,0;25429000,0;253200,0;6260600,0;152248400,0;987200,0;433475800,0;411544300,0;230342400,0;28809000,0;73510600,0;193534800,0;74255300,0
9;2022-09-30;2936413950000,0;10437763160000,0;3735460000,0;267090220000,0;2248416630000,0;17106460000,0;521942270000,0;243632860000,0;55695330000,0;5503514220000,0;897632110000,0;732381580000,0;607773390000,0;652860200,0;25668000,0;167800,0;6814300,0;153836700,0;1804700,0;415171400,0;383107900,0;199380700,0;27484800,0;76667600,0;196530800,0;72504000,0
